Domain,Type,Sponsoring Organisation,Date
.credit,generic,"Snow Shadow, LLC",2025-02-06
.creditcard,generic,"Binky Frostbite, LLC",2025-02-06
.cricket,generic,dot Cricket Limited,2025-02-06
.crs,generic,Federated Co-operatives Limited,2025-02-06
.cruises,generic,"Spring Way, LLC",2025-02-06
.cuisinella,generic,SALM S.A.S.,2025-02-06
.cymru,generic,Nominet UK,2025-02-06
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2025-02-06
.dabur,generic,Dabur India Limited,2025-02-06
.dad,generic,Charleston Road Registry Inc.,2025-02-06
.dance,generic,United TLD Holdco Ltd.,2025-02-06
.date,generic,dot Date Limited,2025-02-06
.dating,generic,"Pine Fest, LLC",2025-02-06
.datsun,generic,"NISSAN MOTOR CO., LTD.",2025-02-06
.day,generic,Charleston Road Registry Inc.,2025-02-06
.dclk,generic,Charleston Road Registry Inc.,2025-02-06
.deals,generic,"Sand Sunset, LLC",2025-02-06
.degree,generic,"United TLD Holdco, Ltd",2025-02-06
.delivery,generic,"Steel Station, LLC",2025-02-06
.democrat,generic,United TLD Holdco Ltd.,2025-02-06
.dental,generic,"Tin Birch, LLC",2025-02-06
.dentist,generic,"United TLD Holdco, Ltd",2025-02-06
.desi,generic,Desi Networks LLC,2025-02-06
.design,generic,"Top Level Design, LLC",2025-02-06
.dev,generic,Charleston Road Registry Inc.,2025-02-06
.diamonds,generic,"John Edge, LLC",2025-02-06
.diet,generic,"Uniregistry, Corp.",2025-02-06
.digital,generic,"Dash Park, LLC",2025-02-06
.direct,generic,"Half Trail, LLC",2025-02-06
.directory,generic,"Extra Madison, LLC",2025-02-06
.discount,generic,"Holly Hill, LLC",2025-02-06
.dnp,generic,"Dai Nippon Printing Co., Ltd.",2025-02-06
.docs,generic,Charleston Road Registry Inc.,2025-02-06
.doha,generic,Communications Regulatory Authority (CRA),2025-02-06
.domains,generic,"Sugar Cross, LLC",2025-02-06
.doosan,generic,Doosan Corporation,2025-02-06
.download,generic,dot Support Limited,2025-02-06
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,2025-02-06
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-02-06
.eat,generic,Charleston Road Registry Inc.,2025-02-06
.education,generic,"Brice Way, LLC",2025-02-06
.email,generic,"Spring Madison, LLC",2025-02-06
.emerck,generic,Merck KGaA,2025-02-06
.energy,generic,"Binky Birch, LLC",2025-02-06
.engineer,generic,United TLD Holdco Ltd.,2025-02-06
.engineering,generic,Romeo Canyon,2025-02-06
.enterprises,generic,"Snow Oaks, LLC",2025-02-06
