Domain,Type,Sponsoring Organisation,Date
.trading,generic,DOTTRADING REGISTRY LTD,2025-02-06
.training,generic,"Wild Willow, LLC",2025-02-06
.trust,generic,Artemis Internet Inc,2025-02-06
.tui,generic,TUI AG,2025-02-06
.university,generic,"Little Station, LLC",2025-02-06
.uno,generic,Dot Latin LLC,2025-02-06
.uol,generic,UBN INTERNET LTDA.,2025-02-06
.vacations,generic,"Atomic Tigers, LLC",2025-02-06
.vegas,generic,"Dot Vegas, Inc.",2025-02-06
.ventures,generic,"Binky Lake, LLC",2025-02-06
.versicherung,generic,dotversicherung-registry GmbH,2025-02-06
.vet,generic,"United TLD Holdco, Ltd",2025-02-06
.viajes,generic,"Black Madison, LLC",2025-02-06
.video,generic,"United TLD Holdco, Ltd",2025-02-06
.villas,generic,"New Sky, LLC",2025-02-06
.vision,generic,"Koko Station, LLC",2025-02-06
.vlaanderen,generic,DNS.be vzw,2025-02-06
.vodka,generic,Top Level Domain Holdings Limited,2025-02-06
.vote,generic,Monolith Registry LLC,2025-02-06
.voting,generic,Valuetainment Corp.,2025-02-06
.voto,generic,Monolith Registry LLC,2025-02-06
.voyage,generic,"Ruby House, LLC",2025-02-06
.wales,generic,Nominet UK,2025-02-06
.wang,generic,Zodiac Registry Limited,2025-02-06
.watch,generic,"Sand Shadow, LLC",2025-02-06
.webcam,generic,dot Webcam Limited,2025-02-06
.website,generic,DotWebsite Inc.,2025-02-06
.wed,generic,"Atgron, Inc.",2025-02-06
.wedding,generic,Top Level Domain Holdings Limited,2025-02-06
.whoswho,generic,Who's Who Registry,2025-02-06
.wien,generic,punkt.wien GmbH,2025-02-06
.wiki,generic,"Top Level Design, LLC",2025-02-06
.williamhill,generic,William Hill Organization Limited,2025-02-06
.win,generic,First Registry Limited,2025-02-06
.wme,generic,"William Morris Endeavor Entertainment, LLC",2025-02-06
.work,generic,Top Level Domain Holdings Limited,2025-02-06
.works,generic,"Little Dynamite, LLC",2025-02-06
.world,generic,"Bitter Fields, LLC",2025-02-06
.wtc,generic,"World Trade Centers Association, Inc.",2025-02-06
.wtf,generic,"Hidden Way, LLC",2025-02-06
.xin,generic,Elegant Leader Limited,2025-02-06
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2025-02-06
.慈善,generic,Excellent First Limited,2025-02-06
.集团,generic,Eagle Horizon Limited,2025-02-06
.在线,generic,TLD REGISTRY LIMITED,2025-02-06
.八卦,generic,Zodiac Scorpio Limited,2025-02-06
.موقع,generic,Suhub Electronic Establishment,2025-02-06
.公益,generic,China Organizational Name Administration Center,2025-02-06
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2025-02-06
.移动,generic,Afilias Limited,2025-02-06
.我爱你,generic,Tycoon Treasure Limited,2025-02-06
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2025-02-06
.онлайн,generic,CORE Association,2025-02-06
.сайт,generic,CORE Association,2025-02-06
.时尚,generic,RISE VICTORY LIMITED,2025-02-06
.淡马锡,generic,Temasek Holdings (Private) Limited,2025-02-06
.орг,generic,Public Interest Registry,2025-02-06
.삼성,generic,"SAMSUNG SDS CO., LTD",2025-02-06
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,2025-02-06
.商店,generic,"Wild Island, LLC",2025-02-06
.商城,generic,Zodiac Aquarius Limited,2025-02-06
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2025-02-06
.中文网,generic,TLD REGISTRY LIMITED,2025-02-06
.中信,generic,CITIC Group Corporation,2025-02-06
.谷歌,generic,Charleston Road Registry Inc.,2025-02-06
.网店,generic,Zodiac Libra Limited,2025-02-06
.संगठन,generic,Public Interest Registry,2025-02-06
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2025-02-06
.飞利浦,generic,Koninklijke Philips N.V.,2025-02-06
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2025-02-06
.بازار,generic,CORE Association,2025-02-06
.政府,generic,"Net-Chinese Co., Ltd.",2025-02-06
.شبكة,generic,International Domain Registry Pty. Ltd.,2025-02-06
.机构,generic,Public Interest Registry,2025-02-06
.组织机构,generic,Public Interest Registry,2025-02-06
.健康,generic,Stable Tone Limited,2025-02-06
.рус,generic,Rusnames Limited,2025-02-06
.みんな,generic,Charleston Road Registry Inc.,2025-02-06
.グーグル,generic,Charleston Road Registry Inc.,2025-02-06
.世界,generic,Stable Tone Limited,2025-02-06
.网址,generic,"KNET Co., Ltd",2025-02-06
.游戏,generic,"Spring Fields, LLC",2025-02-06
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-02-06
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-02-06
.企业,generic,"Dash McCook, LLC",2025-02-06
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd.",2025-02-06
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2025-02-06
.政务,generic,China Organizational Name Administration Center,2025-02-06
.xyz,generic,XYZ.COM LLC,2025-02-06
.yachts,generic,"DERYachts, LLC",2025-02-06
.yandex,generic,"YANDEX, LLC",2025-02-06
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2025-02-06
.yoga,generic,Top Level Domain Holdings Limited,2025-02-06
.yokohama,generic,"GMO Registry, Inc.",2025-02-06
.youtube,generic,Charleston Road Registry Inc.,2025-02-06
.zip,generic,Charleston Road Registry Inc.,2025-02-06
.zone,generic,"Outer Falls, LLC",2025-02-06
.zuerich,generic,Kanton Zürich (Canton of Zurich),2025-02-06
