Domain,Type,Sponsoring Organisation,Date
.trading,generic,DOTTRADING REGISTRY LTD,2025-02-04
.training,generic,"Wild Willow, LLC",2025-02-04
.trust,generic,Artemis Internet Inc,2025-02-04
.tui,generic,TUI AG,2025-02-04
.university,generic,"Little Station, LLC",2025-02-04
.uno,generic,Dot Latin LLC,2025-02-04
.uol,generic,UBN INTERNET LTDA.,2025-02-04
.vacations,generic,"Atomic Tigers, LLC",2025-02-04
.vegas,generic,"Dot Vegas, Inc.",2025-02-04
.ventures,generic,"Binky Lake, LLC",2025-02-04
.versicherung,generic,dotversicherung-registry GmbH,2025-02-04
.vet,generic,"United TLD Holdco, Ltd",2025-02-04
.viajes,generic,"Black Madison, LLC",2025-02-04
.video,generic,"United TLD Holdco, Ltd",2025-02-04
.villas,generic,"New Sky, LLC",2025-02-04
.vision,generic,"Koko Station, LLC",2025-02-04
.vlaanderen,generic,DNS.be vzw,2025-02-04
.vodka,generic,Top Level Domain Holdings Limited,2025-02-04
.vote,generic,Monolith Registry LLC,2025-02-04
.voting,generic,Valuetainment Corp.,2025-02-04
.voto,generic,Monolith Registry LLC,2025-02-04
.voyage,generic,"Ruby House, LLC",2025-02-04
.wales,generic,Nominet UK,2025-02-04
.wang,generic,Zodiac Registry Limited,2025-02-04
.watch,generic,"Sand Shadow, LLC",2025-02-04
.webcam,generic,dot Webcam Limited,2025-02-04
.website,generic,DotWebsite Inc.,2025-02-04
.wed,generic,"Atgron, Inc.",2025-02-04
.wedding,generic,Top Level Domain Holdings Limited,2025-02-04
.whoswho,generic,Who's Who Registry,2025-02-04
.wien,generic,punkt.wien GmbH,2025-02-04
.wiki,generic,"Top Level Design, LLC",2025-02-04
.williamhill,generic,William Hill Organization Limited,2025-02-04
.win,generic,First Registry Limited,2025-02-04
.wme,generic,"William Morris Endeavor Entertainment, LLC",2025-02-04
.work,generic,Top Level Domain Holdings Limited,2025-02-04
.works,generic,"Little Dynamite, LLC",2025-02-04
.world,generic,"Bitter Fields, LLC",2025-02-04
.wtc,generic,"World Trade Centers Association, Inc.",2025-02-04
.wtf,generic,"Hidden Way, LLC",2025-02-04
.xin,generic,Elegant Leader Limited,2025-02-04
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2025-02-04
.慈善,generic,Excellent First Limited,2025-02-04
.集团,generic,Eagle Horizon Limited,2025-02-04
.在线,generic,TLD REGISTRY LIMITED,2025-02-04
.八卦,generic,Zodiac Scorpio Limited,2025-02-04
.موقع,generic,Suhub Electronic Establishment,2025-02-04
.公益,generic,China Organizational Name Administration Center,2025-02-04
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2025-02-04
.移动,generic,Afilias Limited,2025-02-04
.我爱你,generic,Tycoon Treasure Limited,2025-02-04
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2025-02-04
.онлайн,generic,CORE Association,2025-02-04
.сайт,generic,CORE Association,2025-02-04
.时尚,generic,RISE VICTORY LIMITED,2025-02-04
.淡马锡,generic,Temasek Holdings (Private) Limited,2025-02-04
.орг,generic,Public Interest Registry,2025-02-04
.삼성,generic,"SAMSUNG SDS CO., LTD",2025-02-04
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,2025-02-04
.商店,generic,"Wild Island, LLC",2025-02-04
.商城,generic,Zodiac Aquarius Limited,2025-02-04
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2025-02-04
.中文网,generic,TLD REGISTRY LIMITED,2025-02-04
.中信,generic,CITIC Group Corporation,2025-02-04
.谷歌,generic,Charleston Road Registry Inc.,2025-02-04
.网店,generic,Zodiac Libra Limited,2025-02-04
.संगठन,generic,Public Interest Registry,2025-02-04
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2025-02-04
.飞利浦,generic,Koninklijke Philips N.V.,2025-02-04
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2025-02-04
.بازار,generic,CORE Association,2025-02-04
.政府,generic,"Net-Chinese Co., Ltd.",2025-02-04
.شبكة,generic,International Domain Registry Pty. Ltd.,2025-02-04
.机构,generic,Public Interest Registry,2025-02-04
.组织机构,generic,Public Interest Registry,2025-02-04
.健康,generic,Stable Tone Limited,2025-02-04
.рус,generic,Rusnames Limited,2025-02-04
.みんな,generic,Charleston Road Registry Inc.,2025-02-04
.グーグル,generic,Charleston Road Registry Inc.,2025-02-04
.世界,generic,Stable Tone Limited,2025-02-04
.网址,generic,"KNET Co., Ltd",2025-02-04
.游戏,generic,"Spring Fields, LLC",2025-02-04
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-02-04
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-02-04
.企业,generic,"Dash McCook, LLC",2025-02-04
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd.",2025-02-04
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2025-02-04
.政务,generic,China Organizational Name Administration Center,2025-02-04
.xyz,generic,XYZ.COM LLC,2025-02-04
.yachts,generic,"DERYachts, LLC",2025-02-04
.yandex,generic,"YANDEX, LLC",2025-02-04
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2025-02-04
.yoga,generic,Top Level Domain Holdings Limited,2025-02-04
.yokohama,generic,"GMO Registry, Inc.",2025-02-04
.youtube,generic,Charleston Road Registry Inc.,2025-02-04
.zip,generic,Charleston Road Registry Inc.,2025-02-04
.zone,generic,"Outer Falls, LLC",2025-02-04
.zuerich,generic,Kanton Zürich (Canton of Zurich),2025-02-04
